tag,japanese,color,culture,continent,type
ABK,アブハジア,0 153 62,Middle East,アジア,バニラ
ADR,アンドラ,182 112 178,Western Europe,ヨーロッパ,追加国家
ADU,アンダルシア,240 230 155,Western Europe,ヨーロッパ,バニラ
AFG,アフガニスタン,64 160 167,Asia,アジア,バニラ
ALB,アルバニア,149 45 102,Eastern Europe,ヨーロッパ,バニラ
ALG,アルジェリア,0 98 51,Africa,アフリカ,バニラ
ALT,アルタイ,214 235 255,Asia,アジア,バニラ
AMA,アマゾン,82 129 68,South America,新大陸,追加国家
ANG,アンゴラ,168 80 16,Africa,アフリカ,バニラ
ARG,アルゼンチーナ,145 157 236,South America,新大陸,バニラ
ARM,アルメニア,176 102 180,Middle East,アジア,バニラ
AST,オーストラリア,57 143 97,Commonwealth,大洋州,バニラ
ATL,アトランティス,44 157 216,Western Europe,ヨーロッパ,追加国家
AUS,エミュー,57 143 97,Western Europe,ヨーロッパ,バニラ
AZR,アゼルバイジャン,69 151 49,Middle East,アジア,バニラ
BAH,バハマ,0 204 204,South America,新大陸,バニラ
BAN,バングラデシュ,0 106 78,Asia,アジア,バニラ
BAS,西インド諸島,255 161 0,South America,新大陸,バニラ
BAY,バイエルン,0 152 212,Western Europe,ヨーロッパ,バニラ
BEL,ベルギー,250 224 66,Western Europe,ヨーロッパ,バニラ
BHU,ブータン,172 122 88,Asia,アジア,バニラ
BKK,バンコク,217 251 235,Asia,アジア,追加国家
BLR,ベラルーシ,180 220 190,Eastern Europe,ヨーロッパ,バニラ
BLX,ベネルクス,203 138 74,Western Europe,ヨーロッパ,追加国家
BLZ,ベリーズ,0 60 135,South America,新大陸,バニラ
BOL,ボリビア,255 180 136,South America,新大陸,バニラ
BOS,ボスニア,255 240 40,Eastern Europe,ヨーロッパ,バニラ
BOT,ボツワナ,182 212 233,Africa,アフリカ,バニラ
BRA,ブラジル,76 145 63,South America,新大陸,バニラ
BRD,ブルンジ,45 186 71,Africa,アフリカ,バニラ
BRI,ブルターニュ,170 170 170,Western Europe,ヨーロッパ,バニラ
BRM,ビルマ,76 153 0,Asia,アジア,バニラ
BSK,バシコルトスタン,85 157 166,Eastern Europe,ヨーロッパ,バニラ
BTB,バトル,0 91 152,Eastern Europe,ヨーロッパ,追加国家
BTG,バトル,0 126 102,Eastern Europe,ヨーロッパ,追加国家
BTL,バトル,255 255 255,Eastern Europe,ヨーロッパ,追加国家
BTP,バトル,106 52 132,Eastern Europe,ヨーロッパ,追加国家
BTW,バトル,255 255 255,Eastern Europe,ヨーロッパ,追加国家
BTY,バトル,255 226 0,Eastern Europe,ヨーロッパ,追加国家
BUK,ブハラ,0 154 48,Asia,アジア,バニラ
BUL,ブルガリア,0 150 110,Eastern Europe,ヨーロッパ,バニラ
BYA,ブリヤート,3 44 157,Asia,アジア,バニラ
CAN,カナダ,233 59 59,Commonwealth,新大陸,バニラ
CAR,中央アフリカ,171 190 152,Africa,アフリカ,追加国家
CAT,カタルーニャ,255 128 0,Western Europe,ヨーロッパ,バニラ
CAY,カイエンヌ,7 137 48,South America,新大陸,バニラ
CCS,南西諸島,23 0 142,Asia,アジア,追加国家
CHA,チャド,254 203 0,Africa,アフリカ,バニラ
CHI,中華,125 125 125,Asia,アジア,追加国家
CHL,チリ,155 101 107,South America,新大陸,バニラ
CHN,中華,245 12 55,Asia,アジア,バニラ
CHU,チュヴァシ,201 117 6,Eastern Europe,ヨーロッパ,バニラ
CIN,北カフカース,54 159 48,Eastern Europe,ヨーロッパ,バニラ
CKK,チュクチ,111 95 120,Asia,アジア,バニラ
CLF,カリフォルニア,106 139 139,Western Europe,新大陸,追加国家
CMR,カメルーン,0 122 94,Africa,アフリカ,バニラ
COG,コンゴ,216 212 73,Africa,アフリカ,バニラ
COL,コロンビア,222 187 91,South America,新大陸,バニラ
